id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2233979,2008
tt5491994,"Planet Earth II",Documentary,9.5,162330,2016
tt0185906,"Band of Brothers","Action, Drama, History",9.4,545366,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,223872,2006
tt5152226,"Tree of Life",Drama,9.4,12767,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,906530,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,390704,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,389530,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,71263,2023
tt6769208,"Blue Planet II",Documentary,9.3,49003,2017
tt0081846,Cosmos,Documentary,9.3,45970,1980
tt7678620,Bluey,"Animation, Family",9.3,33498,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11275,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2365073,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,498099,1999
tt14392248,Aspirants,Drama,9.2,313833,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,161163,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,131492,2014
tt9253866,"Our Planet",Documentary,9.2,53992,2019
tt9471404,"The Chosen","Drama, History",9.2,51038,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33571,2011
tt0071075,"The World at War","Documentary, History, War",9.2,31276,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,12751,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1024699,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,627010,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,560800,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,208676,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,159616,2020
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,97972,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75886,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,74105,2015
tt1533395,Life,Documentary,9.1,44115,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,29558,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24751,2019
tt9471962,Halka,"Action, Crime, Drama",9.1,18989,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18050,2017
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13645,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12918,2021
tt7923710,"My Mister","Drama, Family",9.1,10820,2018
tt0386676,"The Office",Comedy,9,745765,2005
tt3032476,"Better Call Saul","Crime, Drama",9,690016,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,300781,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,268968,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,148656,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,122369,1992
tt12004706,Panchayat,"Comedy, Drama",9,98833,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,97100,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85811,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,66540,2021
tt0081912,"Only Fools and Horses",Comedy,9,58652,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,49412,2018
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,46535,2022
tt0296310,"The Blue Planet",Documentary,9,44123,2001
tt21279678,"NCR Days",Drama,9,43956,2022
tt2092588,"Frozen Planet",Documentary,9,34221,2011
tt1806234,"Human Planet",Documentary,9,28763,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26416,2018
tt13675832,"As If",Comedy,9,25341,2021
tt0268093,Ramayan,"Adventure, Drama, Family",9,24831,1987
tt4934214,Taskmaster,"Comedy, Game-Show",9,22214,2015
tt0098769,"The Civil War","Documentary, History, War",9,19876,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,15406,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13662,2015
tt3212600,Mahabharat,"Drama, History, War",9,12281,2013
tt0108778,Friends,"Comedy, Romance",8.9,1117080,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,677141,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,433381,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,400708,2006
tt0098904,Seinfeld,Comedy,8.9,360729,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,286415,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,146791,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,146342,1998
tt0200276,"The West Wing",Drama,8.9,88771,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,41024,2013
tt9735318,"The Beatles: Get Back","Biography, Documentary, Music",8.9,30102,2021
tt0092337,Dekalog,Drama,8.9,29201,1989
tt1909015,Undercover,"Action, Crime, Drama",8.9,27863,2011
tt22248376,"Frieren: Beyond Journey's End","Adventure, Animation, Drama",8.9,27066,2023
tt0158417,Mahabharat,"Action, Adventure, Drama",8.9,24266,1988
tt1518542,"Sarabhai V/S Sarabhai",Comedy,8.9,18594,2004
